FromCode,ToCode,Use
P4,6901,-5986
P4,C,-3245
P4,E,-1116
P4,I,-997
P4,K,6281
P4,O,1567
P4,Q,-5232
P4,Q1,0
P4,Q2,0
P4,Q3,0
P4,Q4,0
P4,Q5,0
P4,Q6,0
P4,Q7,0
P4,Total,-14043
P5,080,0
P5,1205,0
P5,3201,0
P5,6701,0
P5,6901,0
P5,C,0
P5,E,0
P5,I,0
P5,K,0
P5,O,0
P5,Q,0
P5,Q1,0
P5,Q2,0
P5,Q3,0
P5,Q4,0
P5,Q5,0
P5,Q6,0
P5,Q7,0
P5,Total,0
P6,080,6898.2878
P6,1205,205.38330000000002
P6,3201,17972.682400000005
P6,6701,582.8934
P6,6901,4878.132500000001
P6,C,51943.6182
P6,E,14980.188
P6,I,10054.4938
P6,K,3528.5068
P6,O,5677.591
P6,Q,10933.420399999999
P6,Q1,1339.1870999999999
P6,Q2,10304
P6,Q3,5622.9905
P6,Q4,11127.042500000001
P6,Q5,100175.8455
P6,Q6,49888.459800000004
P6,Q7,1942.3425
P6,Total,62152.9347
Q,080,1.7169
Q,1205,9.6792
Q,3201,6.5719
Q,6701,0
Q,6901,43.654300000000006
Q,C,476.2646
Q,E,9.1173
Q,I,70.3863
Q,K,1946.1436999999999
Q,O,435.5352
Q,Q,3155.6028
Q,Q1,0
Q,Q2,366.3035
Q,Q3,155694
Q,Q4,118.05869999999999
Q,Q5,66454.28020000001
Q,Q6,498.9941
Q,Q7,7.863300000000001
Q,Total,545.8279
Total,080,22590.4116
Total,1205,3342.7041000000004
Total,3201,31413.4679
Total,6701,2840.9654
Total,6901,37211.4867
Total,C,92896.0399
Total,E,21558.3607
Total,I,32289.5372
Total,K,42771.5374
Total,O,31277.214099999997
Total,Q,32634.9179
Total,Q1,4352.5368
Total,Q2,145045.69019999998
Total,Q3,107732.6741
Total,Q4,11646.0487
Total,Q5,383711.548
Total,Q6,67752.61039999999
Total,Q7,4512.2976
Total,Total,325511.9537
